"","x","y"
"1",2,2871.2928128852
"2",3,2412.42915710579
"3",4,2232.34650693029
"4",5,2131.41166365564
"5",6,2120.89251357199
"6",7,2170.51863081399
"7",8,2205.08489124507
"8",9,2247.51686432818
"9",10,2293.88557962416
